Hero_Role,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Crystal Maiden_mid,1.8935492e-24,-3.0639003e-24,-1.5245318e-25,1.369741e-24,-2.9582505e-24,-2.395392e-25,9.019892e-25,-6.99266e-27,4.2999565e-25,-2.0843942e-24,-7.3883317e-25,-1.7627091e-24,-2.2582875e-24,-1.0806603e-24,2.7725887e-25,-2.6545128e-25
Crystal Maiden_offlane,-5.778915e-25,1.236107e-24,-1.6239949e-24,-1.5659674e-24,-6.5897506e-25,-5.770763e-24,2.216384e-24,2.058103e-24,2.9426405e-25,3.74543e-24,-1.205455e-24,-5.1357123e-25,2.3735862e-24,3.1771627e-24,1.9638728e-24,-1.1566719e-25
Crystal Maiden_softsup,1.3455419e-24,-1.4164362e-25,1.2679259e-24,7.7330684e-25,5.4219406e-25,-4.2176504e-24,3.8069366e-24,-9.276689e-26,1.32327e-24,3.3356557e-24,6.5909557e-24,1.6647198e-24,-2.1261862e-25,5.4962235e-24,-1.3985204e-24,-3.5261692e-24
Crystal Maiden_hardsup,-0.0013799898,0.002034644,0.0035193018,-0.0047684573,0.0026951425,-0.002198387,0.0045943903,0.003094757,-0.0018253992,-0.0046249116,-0.0036270455,-0.0058201733,0.0031109734,0.0034537609,-0.0029774595,-0.003501307
Crystal Maiden_carry,-7.8173936e-25,-5.180998e-24,1.7997597e-24,-1.4913853e-24,-2.6316765e-25,-1.5282951e-24,3.7902558e-24,8.511734e-25,-2.9550952e-24,-2.254969e-24,-9.953909e-25,4.3042215e-24,1.3867093e-24,3.817883e-24,5.253273e-25,-3.7995296e-24
Drow Ranger_mid,2.5079856e-24,-2.8860916e-24,7.903484e-26,-2.5295658e-25,1.9827096e-24,-4.456843e-25,3.2230391e-25,-2.3282843e-24,-1.4935425e-24,-3.6749766e-25,-1.8491797e-24,-1.2699281e-24,-2.5501161e-25,-3.3547183e-25,1.6667962e-24,-4.7573397e-24
Drow Ranger_offlane,-0.0052488185,-0.00398722,0.006702016,0.0031282802,0.007156278,0.0016973708,0.0033789389,-0.0038165306,-0.011962989,0.0008852513,0.008965953,0.0020492068,0.0032072538,0.006225366,0.00826965,-0.00073999166
Drow Ranger_softsup,6.3588953e-24,-6.0968367e-25,4.5888177e-25,7.065976e-25,-1.6633396e-24,2.1973908e-24,9.121223e-25,-2.298516e-25,1.4599215e-24,3.699778e-24,-1.4221166e-24,4.2031353e-24,-2.5322736e-25,2.341394e-24,-5.2657787e-25,3.3150274e-24
Drow Ranger_hardsup,3.0162748e-24,1.432222e-24,-1.3126168e-24,3.582517e-24,-4.0835395e-25,-2.288082e-24,1.7444911e-24,2.8342767e-24,-1.3945434e-26,3.6268697e-24,2.303282e-25,1.8550232e-24,-9.857554e-25,-5.8047896e-25,-4.8240047e-25,3.6761313e-26
Drow Ranger_carry,1.294311e-25,-9.353197e-25,1.4465235e-24,2.6521941e-24,-5.3051637e-24,-4.4565833e-24,-2.30837e-24,8.871861e-25,-8.389602e-26,6.7061874e-25,-4.377043e-24,5.695359e-25,5.059142e-24,4.273308e-24,1.09779905e-24,-2.4141396e-24
