Hero_ID,Hero_Name,carry,mid,offlane,softsup,hardsup
1,Anti-Mage,0.9670361052267018,1.0772373816452753e-07,0.0183131432117078,1.0772373816452753e-07,0.0146505361141139
2,Axe,0.1835897492000857,0.0609231244707266,0.7300511008372305,0.0183932244809488,0.0070428010110082
3,Bane,0.0042720968131208,0.1345580210208863,4.271669646156245e-07,4.271669646156245e-07,0.8611690278320635
4,Bloodseeker,0.8523102476236137,4.280812755109685e-07,0.1476884681325596,4.280812755109685e-07,4.280812755109685e-07
5,Crystal Maiden,1.312162897150704e-07,0.0007874289545801,1.312162897150704e-07,0.1750426616961936,0.8241696469166468
6,Drow Ranger,9.640407962784168e-08,0.0091584839687245,0.9900699941820136,0.0007713290411023,9.640407962784168e-08
7,Earthshaker,0.0091073642256655,0.3402036307947089,0.3484720500467045,0.2824445281938117,0.0197724267391092
8,Juggernaut,0.9920809897952894,8.99846621143426e-08,0.0039594151176931,0.0019797525511776,0.0019797525511776
9,Mirana,0.0188364240615217,0.2096232659238474,0.0041031293331505,0.5546434589300084,0.2127937217514716
10,Morphling,0.9443282729581752,0.0464121259189086,0.0091436289678073,1.1574067376118417e-07,0.0001158564144349
11,Shadow Fiend,0.6055643446403868,0.3703342768679079,0.0207236602004636,0.0020609680384222,0.0013167502528193
12,Phantom Lancer,0.9940312418849258,1.2698404635933565e-07,0.0022858398185144,1.2698404635933565e-07,0.003682664328467
13,Puck,0.166937054315695,0.7810053229572902,0.0480756171098531,0.0022122089572268,0.0017697966599346
14,Pudge,0.0849372785907116,0.0161804833594634,0.1859339091445932,0.6378565069086658,0.0750918219965657
15,Razor,9.3101157666345e-08,0.377897692068852,0.6221020286276749,9.3101157666345e-08,9.3101157666345e-08
16,Sand King,0.1808619259214015,0.1890057872314434,0.592466249633102,0.0081442006375964,0.0295218365764564
17,Storm Spirit,0.1757549077785047,0.7766836762063509,0.0379383707895305,0.0004425392973458,0.0091805059282679
18,Sven,0.934442355701,3.54357983065232e-07,0.0450038182072675,3.54357983065232e-07,0.0205531173757665
19,Tiny,0.1317210880014526,0.3252719240541895,0.184706901186937,0.3378726861263653,0.0204274006310555
20,Vengeful Spirit,0.0698628663564163,0.002458714957268,0.2018029073930471,0.3757424956540712,0.3501330156391972
21,Windranger,0.0295575950321581,0.0013902921330113,0.4488031162949962,0.3993592240814724,0.1208897724583618
22,Zeus,0.0520172525134233,0.3714978653820202,0.0426784447709914,0.0514569240488774,0.4823495132846874
23,Kunkka,0.2680052637145063,0.5916996095052081,2.677372587185291e-07,0.1392236422708938,0.0010712167721328
25,Lina,0.1300865972829109,0.7561035033564762,0.0300995800932824,1.2918219275145796e-07,0.0837101900851375
26,Lion,0.0014043962935086,0.0025926859153381,0.0225775568279256,0.3260235157114843,0.6474018452517432
27,Shadow Shaman,0.0016136097125997,0.0015186970773077,0.0075931057359976,0.3480447285285077,0.641229858945587
28,Slardar,0.1478825433273318,0.1671220587875348,0.6828321477503713,0.0021631362914752,1.13843286746763e-07
29,Tidehunter,1.0355177407488139e-07,0.2778295133946808,0.7163712766018036,0.0056954511258925,0.0001036553258489
30,Witch Doctor,0.0007572398460913,9.464315036761764e-08,0.0152376418523368,0.0188340815663062,0.9651709420921152
31,Lich,0.0005310147194873,0.0243342074443821,0.0051323753949316,0.1446774866483113,0.8253249157928874
32,Riki,0.0141474795029086,0.6929519348284845,0.2156143363710552,0.0521353783922211,0.0251508709053302
33,Enigma,0.1167654501667649,0.0903355220206666,0.6429971538517675,0.1499014794842613,3.94476539494005e-07
34,Tinker,0.128949535726114,0.7013628697972174,0.074258320562694,1.6038479520064536e-07,0.0954291135291791
35,Sniper,0.1204162438548116,0.6405695319883159,0.0053541744852134,0.2065865205644405,0.0270735291072183
36,Necrophos,0.2174734760718911,0.5447861258079776,0.2279743631343257,0.0012602114563627,0.0085058235294426
37,Warlock,0.0093771994992188,0.001004799617772,0.0006699036225141,0.1059388781319054,0.8830092191285894
38,Beastmaster,0.3002934723765563,0.6560175651721937,1.7268159844448417e-07,1.7268159844448417e-07,0.0436886170880529
39,Queen of Pain,0.2787339008460597,6.594129049083729e-08,0.3132211957727676,0.3972303998580943,0.0108144375817878
40,Venomancer,0.006864607210578,1.0560771696709421e-07,0.0992713595567855,0.8938638220172024,1.0560771696709421e-07
41,Faceless Void,1.4257189722562214e-07,0.0276590906336679,0.8872250590069438,1.4257189722562214e-07,0.0851155652155936
42,Wraith King,0.5353127834879168,0.0329425593429506,0.4252555212683787,0.0029950049974981,0.0034941309032556
43,Death Prophet,0.1625798411490743,0.5905267206470933,3.359080686797637e-07,0.246892766387695,3.359080686797637e-07
44,Phantom Assassin,0.9775439957852804,1.32872619670064e-07,0.0003987507316298,0.0207282615411496,0.0013288590693203
45,Pugna,0.0054718532154074,0.1310579324414637,0.0411674815431454,0.2055758134760116,0.6167269193239717
46,Templar Assassin,0.9120669096481776,0.0715612898216963,1.687762288808195e-07,0.015696358062145,0.0006752736917521
47,Viper,0.3336200776766578,1.229255544403476e-07,0.5665640033411166,0.0968654598245483,0.0029503362321227
48,Luna,1.3831249079357482e-07,0.99239225975639,0.0019365131836008,0.0001384508032843,0.0055326379442337
49,Dragon Knight,0.5490303509972227,0.2396009414634467,0.2100508092877759,0.0011294926317592,0.0001884056197952
50,Dazzle,0.0010074526516391,0.00020165169052,0.0453265055131894,0.3559627760246011,0.5975016141200503
51,Clockwerk,1.7047377218396506e-07,0.0066486475889468,0.0294921330615981,0.6880323150082551,0.2758267338674276
52,Leshrac,0.2106929855691266,0.6410204535949574,0.0875559914716919,0.0571908930785272,0.0035396762856964
53,Nature's Prophet,1.384273681981117e-07,0.4864339102755327,0.1263843255922441,0.2165005422892149,0.1706810834156399
54,Lifestealer,0.9797341101002746,0.0022729145142854,0.0009471581939789,1.8939376004378786e-07,0.0170456277977009
55,Dark Seer,0.1648107883886737,0.0595772283484734,0.7349651031038332,0.0406463233676966,5.56791322964023e-07
56,Clinkz,0.8575410153710822,0.1246264571496029,9.962138891144205e-08,0.0070732182341012,0.0107592096238246
57,Omniknight,0.1214636480173217,0.0134541597798567,0.6235380211630698,1.2573863589926072e-07,0.2415440453011157
58,Enchantress,0.0057742327533696,0.1379909411346965,0.1345267479019979,0.0265593921495607,0.6951486860603752
59,Huskar,0.1048893265849515,0.7026044695608931,0.1686864683894216,0.0227052356141275,0.001114499850606
60,Night Stalker,0.1938854548321837,0.0973298206948329,0.7085908392116492,0.0001936917630691,1.9349826480431033e-07
61,Broodmother,0.4399512833519571,0.5472150760108038,2.421304574691798e-07,2.421304574691798e-07,0.0128331563763239
62,Bounty Hunter,0.0044228365006819,0.1100932632338783,0.0257464652136588,0.7892903259435112,0.0704471091082695
63,Weaver,0.4753241033492456,0.0080947827945065,0.020628505253501,0.3916789138833171,0.1042736947194295
64,Jakiro,0.0004018884269058,0.0063622400340744,0.0244442055839118,0.1605277389071327,0.8082639270479751
65,Batrider,0.1757883729822889,0.4838704532974749,3.624495062531601e-07,0.0076118020808226,0.3327290091899072
66,Chen,7.107295283243486e-07,0.001422169786177,0.1719972565840206,0.8265791521707457,7.107295283243486e-07
67,Spectre,0.987856962860144,1.663338603344475e-07,0.0001665001941947,0.0108118672555994,0.0011645033562014
68,Ancient Apparition,0.0029931800854838,0.0799801463417473,1.662785448299428e-07,0.0601929995069841,0.85683350778724
69,Doom,0.2269840734442987,3.968246094749812e-07,0.663094319257303,3.968246094749812e-07,0.1099208136491792
70,Ursa,0.9686737432860448,0.0052946143312296,0.0258108174438465,1.1030216727213365e-07,0.0002207146367115
71,Spirit Breaker,0.0018227459114435,0.1524651633713827,0.0788299103117149,0.7668820892727197,9.113273893523241e-08
72,Gyrocopter,1.5743060655651245e-07,0.9260069851960128,0.0022041859223977,0.068954763102359,0.0028339083486237
73,Alchemist,0.3897306155500842,0.0538341395225746,0.1024656158497898,0.2594434975757774,0.1945261315017739
74,Invoker,0.1557833865100884,0.6268106678151694,0.0502563376820989,0.0002786382107649,0.1668709697818782
75,Silencer,0.0005501164924264,0.0621477642322533,0.0358862670931753,0.0644851749723807,0.8369306772097641
76,Outworld Destroyer,0.3195596765368806,2.0764098043918145e-07,0.329111161637083,0.3436460302678257,0.0076829239172301
77,Lycan,0.1518897097030897,0.2122092579605452,0.6358995788532745,7.267415452705478e-07,7.267415452705478e-07
78,Brewmaster,0.247814428326818,0.4180915657704945,3.80082896079635e-07,0.3329529970486563,0.0011406287711349
79,Shadow Demon,2.2021556902051417e-07,0.0365560046729743,2.2021556902051417e-07,0.3003742563595503,0.6630692985363372
80,Lone Druid,0.3962579471146624,0.331632279953855,0.2108843228902412,0.0612248831494241,5.668918172000647e-07
81,Chaos Knight,0.5762986303290758,2.749515054282301e-07,0.3744842253447548,2.749515054282301e-07,0.0492165944231586
82,Meepo,0.3445540976383722,0.6326721963559496,4.950482795834664e-07,0.0222776676295355,0.000495543327863
83,Treant Protector,0.0050092554574563,0.0001519428112152,1.5179102019503625e-07,0.4461139601442317,0.5487246897960762
84,Ogre Magi,0.0103114801881162,0.0057173018288403,0.1028076044882059,0.4527819026126071,0.4283817108822302
85,Undying,1.476231564635692e-07,0.0981695466714299,1.476231564635692e-07,0.6118981311646506,0.2899320269176063
86,Rubick,0.0350091164987948,0.289145029046582,0.0001067883160453,0.4233642268747393,0.2523748392638383
87,Disruptor,1.0765415671538555e-07,1.0765415671538555e-07,0.0033373865123336,0.2054042386671123,0.7912581595122404
88,Nyx Assassin,1.432048237112819e-07,0.1592439071717691,0.1049692789851933,0.6217954877592097,0.113991182879004
89,Naga Siren,0.8288746032291702,0.0122237882972181,7.63939022387233e-07,7.63939022387233e-07,0.1589000805955668
90,Keeper of the Light,0.0729375034034597,0.5429037245813125,0.0963698079706139,0.2877886340121551,3.300324586923124e-07
91,Io,0.2239368588188291,0.0017150176354292,0.0013720826953314,0.1210563767894773,0.6519196640609326
92,Visage,0.009334069304684,0.3649820325361562,0.4921141098903928,0.1335694664154064,3.218533603904725e-07
93,Slark,7.218129342381498e-08,7.218129342381498e-08,0.9722820946000812,7.218129342381498e-08,0.0277176888560383
94,Medusa,0.9263178800517284,0.0142513428572728,0.05943017066378,3.032136094396461e-07,3.032136094396461e-07
95,Troll Warlord,0.966773510965384,0.0321355333999635,0.0010898663130002,5.446608260870749e-07,5.446608260870749e-07
96,Centaur Warrunner,0.2035042341632671,0.0662071907172262,0.7284212778821787,0.0018671536211736,1.4361615423226033e-07
97,Magnus,0.0973610481847091,0.0392006835764439,0.6185838164728771,0.2092407510288021,0.0356137007371676
98,Timbersaw,0.1975000016447357,0.1182895274411003,0.675526002943419,0.006315916897423,0.0023685510733216
99,Bristleback,0.2362304421673954,0.0706783338453774,0.6930905872483487,3.1836943908080365e-07,3.1836943908080365e-07
100,Tusk,0.0051052659254309,0.0923014640078292,0.0740249775245162,0.828568190438947,1.0210327644308941e-07
101,Skywrath Mage,0.0214177762132871,0.2970153043335276,0.0019345716683115,0.0337847748428993,0.6458475729419743
102,Abaddon,0.4394592920478051,0.0045885743199409,0.3257709332514233,0.2301809454741964,2.549066340726051e-07
103,Elder Titan,0.1486778103008924,0.0050042708925271,0.1851322904492836,0.6611849135635685,7.147937283998271e-07
104,Legion Commander,0.212689818166426,8.727522810471806e-08,0.7868735438673661,8.727522810471806e-08,0.0004364634157516
105,Techies,0.0058862406358025,0.0566859522162813,1.2795897123546305e-07,0.5980803595135256,0.3393473196754192
106,Ember Spirit,0.1736287805899107,0.7481835505886529,0.0619325000306483,0.0008173806677348,0.0154377881230529
107,Earth Spirit,0.033094384292543,0.3358017405672985,0.0983569794526967,0.5327466642598191,2.3142764241189259e-07
108,Underlord,1.4330743529131892e-07,0.2836055577489554,0.7132412487523295,0.0030095994485529,0.0001434507427266
109,Terrorblade,0.9296035791873696,0.0211188480272819,3.91082536013813e-07,3.91082536013813e-07,0.0492767906202764
110,Phoenix,0.0194305699862281,0.3042123225954297,1.4832382948395914e-07,0.5479083744375746,0.1284485846569381
111,Oracle,0.0112146568172752,0.0772190368166664,3.204096116475301e-07,3.204096116475301e-07,0.9115656655468348
112,Winter Wyvern,0.0069069969079959,0.0027136128347152,0.1292551439872422,0.3529845177793317,0.5081397284907148
